Company:,AeroCab Services,,,,,,
Date:,,,,,,,
,,,,,,,
,,,,,,,
Ride ID,OriginArea,BookingTime,Total (hh:mm:ss),Traffic Period,Confirmed,Confirmation Time,Ride Start Time
RD35,Domestic Terminal,1:03 PM,00:05:00,Non-Peak Time,Yes,9,2
RD36,Domestic Terminal,12:53 AM,00:02:00,Non-Peak Time,Yes,4,1
RD37,Domestic Terminal,1:25 PM,00:05:00,Non-Peak Time,No,9,0
RD38,Domestic Terminal,12:19 PM,00:05:00,Non-Peak Time,No,8,0
RD39,Domestic Terminal,12:58 AM,00:05:00,Non-Peak Time,No,6,0
RD40,Domestic Terminal,11:29 AM,00:05:00,Non-Peak Time,Yes,7,2
RD41,Domestic Terminal,9:40 PM,00:16:00,Peak Time,Yes,15,1
RD42,Domestic Terminal,1:34 PM,00:05:00,Non-Peak Time,No,8,0
RD43,Domestic Terminal,1:33 PM,00:03:00,Non-Peak Time,Yes,5,1
RD44,Domestic Terminal,6:28 PM,00:03:00,Peak Time,Yes,5,2
RD45,Domestic Terminal,1:33 PM,,,,,
RD46,Domestic Terminal,11:40 AM,00:16:00,Peak Time,Yes,15,1
RD47,Domestic Terminal,2:01 AM,00:17:00,Peak Time,Yes,16,1
RD48,Domestic Terminal,1:38 PM,00:19:00,Peak Time,Yes,17,2
RD49,Domestic Terminal,11:40 AM,00:17:00,Peak Time,Yes,16,1
RD50,Domestic Terminal,1:48 AM,00:04:00,Non-Peak Time,Yes,7,1
RD51,Domestic Terminal,3:32 AM,00:03:00,Non-Peak Time,No,6,0
RD52,Domestic Terminal,6:26 PM,00:04:00,Non-Peak Time,Yes,7,1
RD53,Domestic Terminal,11:46 AM,00:02:00,Non-Peak Time,No,6,0
RD54,Domestic Terminal,11:38 AM,00:05:00,Non-Peak Time,Yes,8,2
RD55,Domestic Terminal,5:10 AM,00:03:00,Non-Peak Time,Yes,6,2
RD56,Domestic Terminal,7:00 PM,00:04:00,Non-Peak Time,Yes,7,2
RD57,Domestic Terminal,4:04 AM,00:04:00,Non-Peak Time,Yes,6,2
RD58,Domestic Terminal,10:37 AM,00:03:00,Non-Peak Time,Yes,5,2
RD59,Domestic Terminal,9:04 PM,00:04:00,Non-Peak Time,Yes,6,1
RD60,Domestic Terminal,11:29 PM,,,,,
RD61,Domestic Terminal,7:20 PM,00:03:00,Non-Peak Time,Yes,9,1
RD62,Domestic Terminal,7:34 PM,00:03:00,Non-Peak Time,Yes,9,1
RD63,Domestic Terminal,4:05 AM,00:03:00,Non-Peak Time,Yes,6,1
RD64,Domestic Terminal,11:08 AM,00:02:00,Non-Peak Time,Yes,7,1
RD65,Domestic Terminal,12:06 AM,00:05:00,Non-Peak Time,Yes,7,2
RD66,Domestic Terminal,9:42 PM,00:04:00,Non-Peak Time,Yes,8,2
RD67,Domestic Terminal,9:15 PM,00:17:00,Peak Time,No,17,0
RD68,Domestic Terminal,2:29 AM,00:19:00,Peak Time,Yes,17,2
RD69,Domestic Terminal,11:13 PM,00:04:00,Non-Peak Time,Yes,7,2
RD70,Domestic Terminal,5:05 AM,00:04:00,Non-Peak Time,Yes,9,1
RD71,Domestic Terminal,12:36 PM,00:17:00,Peak Time,Yes,15,2
RD72,Domestic Terminal,5:56 AM,00:04:00,Non-Peak Time,Yes,9,1
RD73,Domestic Terminal,8:21 PM,00:17:00,Peak Time,Yes,15,2
RD74,Domestic Terminal,1:50 PM,00:30:00,Peak Time,No,30,0
RD75,Domestic Terminal,1:40 PM,00:16:00,Peak Time,No,16,0
RD76,Domestic Terminal,10:03 AM,00:15:00,Peak Time,No,15,0
RD77,Domestic Terminal,12:27 AM,00:20:00,Peak Time,Yes,19,1
RD78,Domestic Terminal,1:40 AM,00:18:00,Peak Time,Yes,16,2
RD79,Domestic Terminal,1:40 PM,00:15:00,Peak Time,No,15,0
RD80,Domestic Terminal,3:05 AM,00:16:00,Peak Time,No,16,0
RD81,Domestic Terminal,8:17 PM,00:04:00,Non-Peak Time,Yes,6,2
RD82,Domestic Terminal,1:17 AM,00:18:00,Peak Time,Yes,17,1
RD83,Domestic Terminal,7:01 PM,00:19:00,Peak Time,Yes,18,1
RD84,Domestic Terminal,2:05 AM,00:18:00,Peak Time,Yes,17,1
RD85,Domestic Terminal,3:51 AM,00:02:00,Non-Peak Time,Yes,6,1
RD86,Domestic Terminal,9:07 PM,00:19:00,Peak Time,Yes,17,2
RD87,Domestic Terminal,3:08 AM,00:04:00,Non-Peak Time,Yes,7,2
RD88,Domestic Terminal,1:08 PM,00:02:00,Non-Peak Time,Yes,5,1
RD89,Domestic Terminal,3:14 AM,00:20:00,Peak Time,Yes,19,1
RD90,Domestic Terminal,8:38 PM,00:17:00,Peak Time,No,17,0
RD91,Domestic Terminal,6:53 PM,00:05:00,Non-Peak Time,Yes,6,2
RD92,Domestic Terminal,8:12 PM,00:18:00,Peak Time,No,18,0
RD93,Domestic Terminal,2:06 AM,00:02:00,Non-Peak Time,Yes,6,1
RD94,Domestic Terminal,1:45 PM,00:04:00,Peak Time,Yes,6,2
RD95,Domestic Terminal,1:32 AM,00:05:00,Non-Peak Time,Yes,9,2
RD96,Domestic Terminal,11:21 AM,00:16:00,Peak Time,No,16,0
RD97,Domestic Terminal,10:51 AM,00:06:00,Peak Time,Yes,8,2
RD98,Domestic Terminal,12:06 PM,,,,,
RD99,Domestic Terminal,12:34 PM,00:19:00,Peak Time,No,19,0
RD100,Domestic Terminal,7:47 PM,00:05:00,Non-Peak Time,No,7,0
RD101,Domestic Terminal,6:25 PM,00:05:00,Non-Peak Time,Yes,6,2
RD102,Domestic Terminal,10:53 AM,00:02:00,Non-Peak Time,Yes,7,1
RD103,Domestic Terminal,11:18 AM,00:02:00,Non-Peak Time,Yes,5,1
RD104,Domestic Terminal,10:20 AM,00:04:00,Non-Peak Time,No,6,0
RD105,Domestic Terminal,11:32 AM,00:05:00,Non-Peak Time,Yes,6,2
RD106,Domestic Terminal,10:28 AM,00:03:00,Non-Peak Time,Yes,7,2
RD107,Domestic Terminal,12:12 PM,00:03:00,Non-Peak Time,Yes,5,1
RD108,Domestic Terminal,9:04 PM,00:05:00,Non-Peak Time,Yes,8,2
RD109,Domestic Terminal,10:57 AM,00:03:00,Non-Peak Time,Yes,7,1
RD110,Domestic Terminal,8:03 PM,00:05:00,Non-Peak Time,Yes,7,2
RD111,Domestic Terminal,8:26 PM,00:02:00,Non-Peak Time,Yes,8,1
RD112,Domestic Terminal,10:21 AM,00:04:00,Non-Peak Time,Yes,4,2
RD113,Domestic Terminal,2:39 AM,00:04:00,Non-Peak Time,Yes,8,1
RD114,Domestic Terminal,11:27 AM,00:03:00,Non-Peak Time,Yes,5,1
RD115,Domestic Terminal,12:02 PM,00:03:00,Non-Peak Time,Yes,3,2
RD116,Domestic Terminal,11:05 PM,00:03:00,Non-Peak Time,Yes,4,2
RD117,Domestic Terminal,11:31 PM,00:04:00,Non-Peak Time,Yes,6,1
RD118,Domestic Terminal,9:18 PM,00:04:00,Non-Peak Time,Yes,5,1
RD119,Domestic Terminal,11:14 PM,00:05:00,Non-Peak Time,Yes,9,2
RD120,Domestic Terminal,5:44 AM,00:02:00,Non-Peak Time,Yes,7,1
RD121,Domestic Terminal,12:29 AM,00:04:00,Non-Peak Time,Yes,9,1
RD122,Domestic Terminal,12:03 AM,00:05:00,Non-Peak Time,Yes,7,2
RD123,Domestic Terminal,4:03 AM,00:05:00,Non-Peak Time,Yes,7,2
RD124,Domestic Terminal,11:24 AM,00:04:00,Non-Peak Time,Yes,8,1
RD125,Domestic Terminal,12:36 PM,00:05:00,Non-Peak Time,Yes,6,2
RD126,Domestic Terminal,9:16 PM,00:02:00,Non-Peak Time,Yes,8,1
RD127,Domestic Terminal,2:56 AM,00:05:00,Non-Peak Time,Yes,6,2
RD128,Domestic Terminal,10:01 AM,00:02:00,Non-Peak Time,Yes,6,1
RD129,Domestic Terminal,12:44 PM,00:03:00,Non-Peak Time,Yes,8,1
RD130,Domestic Terminal,6:11 PM,00:04:00,Non-Peak Time,Yes,6,2
RD131,Domestic Terminal,1:54 AM,00:15:00,Peak Time,No,15,0
RD132,Domestic Terminal,5:31 AM,00:19:00,Peak Time,No,19,0
RD133,Domestic Terminal,1:54 PM,00:18:00,Peak Time,Yes,17,1
RD134,Domestic Terminal,2:08 AM,00:16:00,Peak Time,No,16,0
RD135,Domestic Terminal,9:43 PM,00:19:00,Peak Time,No,19,0
RD136,Domestic Terminal,11:16 AM,00:19:00,Peak Time,No,19,0
RD137,Domestic Terminal,8:03 PM,00:02:00,Peak Time,Yes,3,1
RD138,Domestic Terminal,11:02 AM,00:15:00,Peak Time,No,15,0
RD139,Domestic Terminal,3:39 AM,00:19:00,Peak Time,No,19,0
RD140,Domestic Terminal,10:31 AM,00:17:00,Peak Time,Yes,15,2
RD141,Domestic Terminal,6:55 PM,00:21:00,Peak Time,Yes,19,2
RD142,Domestic Terminal,1:42 PM,00:04:00,Peak Time,Yes,7,2
RD143,Domestic Terminal,10:56 AM,00:16:00,Peak Time,No,16,0
RD144,Domestic Terminal,5:49 AM,00:04:00,Peak Time,Yes,9,2
RD145,Domestic Terminal,1:55 PM,00:05:00,Peak Time,Yes,6,1
RD146,Domestic Terminal,6:25 PM,00:19:00,Peak Time,No,19,0
RD147,Domestic Terminal,11:49 AM,00:19:00,Peak Time,No,19,0
RD148,Domestic Terminal,12:17 PM,00:15:00,Peak Time,No,15,0
RD149,Domestic Terminal,12:25 AM,00:15:00,Peak Time,No,15,0
RD150,Domestic Terminal,8:08 PM,00:17:00,Peak Time,Yes,15,2
RD151,Domestic Terminal,12:15 PM,00:03:00,Peak Time,Yes,6,2
RD152,Domestic Terminal,9:07 PM,00:16:00,Peak Time,No,16,0
RD153,Domestic Terminal,8:34 PM,00:30:00,Peak Time,No,30,0
RD154,Domestic Terminal,9:04 PM,00:30:00,Peak Time,No,30,0
RD155,Domestic Terminal,1:25 PM,00:16:00,Peak Time,No,16,0
RD156,Domestic Terminal,8:25 PM,00:18:00,Peak Time,No,18,0
RD157,Domestic Terminal,12:20 PM,00:15:00,Peak Time,No,15,0
RD158,Domestic Terminal,11:16 AM,00:18:00,Peak Time,No,18,0
RD159,Domestic Terminal,3:43 AM,00:03:00,Peak Time,Yes,3,2
RD160,Domestic Terminal,4:31 AM,00:02:00,Peak Time,Yes,7,1
RD161,Domestic Terminal,11:01 AM,00:21:00,Peak Time,Yes,19,2
RD162,Domestic Terminal,8:34 PM,00:16:00,Peak Time,No,16,0
RD163,Domestic Terminal,8:52 PM,00:02:00,Non-Peak Time,No,6,0
RD164,Domestic Terminal,9:09 PM,00:03:00,Non-Peak Time,Yes,7,1
RD165,Domestic Terminal,1:18 PM,00:05:00,Non-Peak Time,Yes,7,2
RD166,Domestic Terminal,9:20 PM,00:02:00,Non-Peak Time,No,7,0
RD167,Domestic Terminal,12:19 PM,00:04:00,Non-Peak Time,Yes,8,2
RD168,Domestic Terminal,10:38 AM,00:04:00,Non-Peak Time,Yes,6,1
RD169,Domestic Terminal,10:08 AM,00:05:00,Non-Peak Time,Yes,7,2
RD170,Domestic Terminal,3:22 AM,00:04:00,Non-Peak Time,Yes,5,2
RD171,Domestic Terminal,6:31 PM,00:04:00,Non-Peak Time,Yes,8,2
RD172,Domestic Terminal,5:29 AM,00:03:00,Non-Peak Time,Yes,4,2
RD173,Domestic Terminal,12:50 PM,00:05:00,Non-Peak Time,No,7,0
RD174,Domestic Terminal,10:50 AM,00:05:00,Non-Peak Time,Yes,7,2
RD175,Domestic Terminal,9:33 PM,00:02:00,Non-Peak Time,Yes,5,1
RD176,Domestic Terminal,1:13 PM,00:03:00,Non-Peak Time,Yes,8,2
RD177,Domestic Terminal,11:45 AM,00:04:00,Non-Peak Time,Yes,6,1
RD178,Domestic Terminal,8:15 PM,00:04:00,Non-Peak Time,Yes,5,1
RD179,Domestic Terminal,12:12 PM,00:05:00,Non-Peak Time,Yes,6,2
RD180,Domestic Terminal,1:38 AM,00:05:00,Non-Peak Time,Yes,6,2
RD181,Domestic Terminal,10:41 AM,00:17:00,Peak Time,No,17,0
RD182,Domestic Terminal,6:46 PM,00:18:00,Peak Time,Yes,17,1
RD183,Domestic Terminal,11:34 AM,00:16:00,Peak Time,Yes,15,1
RD184,Domestic Terminal,11:07 AM,00:16:00,Peak Time,No,16,0
RD185,Domestic Terminal,1:57 PM,00:16:00,Peak Time,No,16,0
RD186,Domestic Terminal,6:28 PM,00:04:00,Non-Peak Time,No,6,0
RD187,Domestic Terminal,7:39 PM,00:05:00,Peak Time,Yes,6,1
RD188,Domestic Terminal,11:39 PM,00:03:00,Peak Time,Yes,6,1
RD189,Domestic Terminal,10:42 AM,00:17:00,Peak Time,Yes,16,1
RD190,Domestic Terminal,5:10 AM,00:17:00,Peak Time,No,17,0
RD191,Domestic Terminal,5:59 AM,00:05:00,Non-Peak Time,No,9,0
RD192,Domestic Terminal,11:00 AM,00:15:00,Peak Time,No,15,0
RD193,Domestic Terminal,5:18 AM,00:16:00,Peak Time,Yes,15,1
RD194,Domestic Terminal,11:44 PM,00:15:00,Peak Time,No,15,0
RD195,Domestic Terminal,12:11 PM,00:18:00,Peak Time,Yes,17,1
RD196,Domestic Terminal,1:21 PM,00:06:00,Peak Time,Yes,6,2
RD197,Domestic Terminal,12:53 AM,00:17:00,Peak Time,Yes,15,2
RD198,Domestic Terminal,12:04 PM,00:04:00,Non-Peak Time,Yes,6,1
RD199,Domestic Terminal,3:41 AM,00:15:00,Peak Time,No,15,0
RD200,Domestic Terminal,3:49 AM,,,,,
RD201,Domestic Terminal,7:20 PM,00:04:00,Peak Time,Yes,8,2
RD202,Domestic Terminal,4:42 AM,00:05:00,Non-Peak Time,Yes,7,2
RD203,Domestic Terminal,11:29 PM,00:04:00,Non-Peak Time,Yes,5,2
RD204,Domestic Terminal,8:21 PM,00:04:00,Non-Peak Time,Yes,6,2
RD205,Domestic Terminal,11:48 AM,00:04:00,Non-Peak Time,Yes,6,1
RD206,Domestic Terminal,2:47 AM,00:04:00,Non-Peak Time,Yes,6,1
RD207,Domestic Terminal,3:45 AM,00:19:00,Peak Time,No,19,0
RD208,Domestic Terminal,11:41 PM,00:16:00,Peak Time,No,16,0
RD209,Domestic Terminal,12:37 AM,00:15:00,Peak Time,No,15,0
RD210,Domestic Terminal,7:03 PM,00:19:00,Peak Time,No,19,0
RD211,Domestic Terminal,1:00 AM,00:20:00,Peak Time,Yes,18,2
RD212,Domestic Terminal,1:46 PM,00:17:00,Peak Time,Yes,15,2
RD213,Domestic Terminal,11:13 PM,00:05:00,Peak Time,Yes,7,1
RD214,Domestic Terminal,4:35 AM,00:05:00,Peak Time,Yes,9,1
RD215,Domestic Terminal,10:45 AM,00:05:00,Peak Time,Yes,8,1
RD216,Domestic Terminal,6:20 PM,00:20:00,Peak Time,Yes,18,2
RD217,Domestic Terminal,3:29 AM,00:06:00,Peak Time,Yes,7,2
RD218,Domestic Terminal,6:41 PM,00:04:00,Non-Peak Time,Yes,7,1
RD219,Domestic Terminal,5:52 AM,00:05:00,Non-Peak Time,No,6,0
RD220,Domestic Terminal,10:10 AM,00:03:00,Non-Peak Time,Yes,5,2
RD221,Domestic Terminal,2:28 AM,00:05:00,Non-Peak Time,No,9,0
RD222,Domestic Terminal,3:01 AM,00:04:00,Non-Peak Time,Yes,7,1
RD223,Domestic Terminal,7:18 PM,00:02:00,Non-Peak Time,No,6,0
RD224,Domestic Terminal,2:44 AM,00:04:00,Non-Peak Time,Yes,7,1
RD225,Domestic Terminal,1:43 PM,00:05:00,Non-Peak Time,Yes,7,2
RD226,Domestic Terminal,4:35 AM,00:03:00,Non-Peak Time,Yes,6,2
RD227,Domestic Terminal,10:57 AM,00:05:00,Non-Peak Time,Yes,6,2
RD228,Domestic Terminal,4:30 AM,00:04:00,Non-Peak Time,Yes,6,2
RD229,Domestic Terminal,6:07 PM,00:04:00,Non-Peak Time,Yes,8,1
RD230,Domestic Terminal,7:51 PM,00:04:00,Non-Peak Time,Yes,6,1
RD231,Domestic Terminal,11:26 AM,00:05:00,Non-Peak Time,Yes,7,2
RD232,Domestic Terminal,7:57 PM,00:02:00,Non-Peak Time,Yes,7,1
RD233,Domestic Terminal,12:42 PM,00:03:00,Non-Peak Time,Yes,6,2
RD234,Domestic Terminal,2:40 AM,00:05:00,Non-Peak Time,Yes,7,2
RD235,Domestic Terminal,8:31 PM,00:05:00,Non-Peak Time,Yes,8,2
RD236,Domestic Terminal,12:25 PM,00:04:00,Non-Peak Time,No,8,0
RD237,Domestic Terminal,11:59 PM,00:04:00,Non-Peak Time,Yes,7,1
RD238,Domestic Terminal,7:31 PM,00:05:00,Non-Peak Time,Yes,5,2
RD239,Domestic Terminal,1:31 AM,00:02:00,Non-Peak Time,Yes,8,1
RD240,Domestic Terminal,4:19 AM,00:04:00,Non-Peak Time,Yes,6,1
RD241,Domestic Terminal,4:26 AM,00:02:00,Non-Peak Time,No,8,0
RD242,Domestic Terminal,11:42 AM,00:04:00,Non-Peak Time,Yes,4,2
RD243,Domestic Terminal,9:02 PM,00:04:00,Non-Peak Time,No,7,0
RD244,Domestic Terminal,2:20 AM,00:19:00,Peak Time,No,19,0
RD245,Domestic Terminal,8:39 PM,00:17:00,Peak Time,No,17,0
RD246,Domestic Terminal,11:52 PM,00:19:00,Peak Time,No,19,0
RD247,Domestic Terminal,11:59 AM,00:17:00,Peak Time,Yes,16,1
RD248,Domestic Terminal,5:13 AM,00:23:00,Peak Time,No,23,0
RD249,Domestic Terminal,12:15 PM,00:02:00,Peak Time,Yes,9,1
RD250,Domestic Terminal,4:33 AM,00:18:00,Peak Time,Yes,17,1
RD251,Domestic Terminal,12:12 AM,00:15:00,Peak Time,No,15,0
RD252,Domestic Terminal,1:30 AM,00:02:00,Peak Time,Yes,6,1
RD253,Domestic Terminal,12:38 PM,00:30:00,Peak Time,No,30,0
RD254,Domestic Terminal,6:58 PM,00:23:00,Peak Time,No,23,0
RD255,Domestic Terminal,11:52 AM,00:18:00,Peak Time,Yes,16,2
RD256,Domestic Terminal,1:12 PM,00:19:00,Peak Time,Yes,18,1
RD257,Domestic Terminal,12:27 PM,00:03:00,Peak Time,Yes,6,1
RD258,Domestic Terminal,2:32 AM,00:19:00,Peak Time,No,19,0
RD259,Domestic Terminal,3:06 AM,00:04:00,Peak Time,Yes,5,1
RD260,Domestic Terminal,12:52 PM,00:17:00,Peak Time,Yes,15,2
RD261,Domestic Terminal,12:18 AM,00:30:00,Peak Time,No,30,0
RD262,Domestic Terminal,11:44 AM,00:16:00,Peak Time,No,16,0
RD263,Domestic Terminal,1:59 PM,00:19:00,Peak Time,No,19,0
RD264,Domestic Terminal,1:45 PM,00:17:00,Peak Time,No,17,0
RD265,Domestic Terminal,10:34 AM,00:20:00,Peak Time,Yes,19,1
RD266,Domestic Terminal,10:03 AM,00:05:00,Peak Time,Yes,6,2
RD267,Domestic Terminal,2:05 AM,00:19:00,Peak Time,Yes,18,1
RD268,Domestic Terminal,2:58 AM,00:05:00,Peak Time,Yes,7,2
RD269,Domestic Terminal,12:01 PM,00:16:00,Peak Time,Yes,15,1
RD270,Domestic Terminal,11:01 AM,00:20:00,Peak Time,Yes,19,1
RD271,Domestic Terminal,12:48 PM,00:06:00,Peak Time,Yes,8,2
RD272,Domestic Terminal,6:40 PM,00:20:00,Peak Time,Yes,18,2
RD273,Domestic Terminal,12:06 AM,00:18:00,Peak Time,No,18,0
RD274,Domestic Terminal,4:30 AM,00:18:00,Peak Time,Yes,16,2
RD275,Domestic Terminal,1:37 PM,00:19:00,Peak Time,Yes,18,1
RD276,Domestic Terminal,12:12 PM,00:15:00,Peak Time,No,15,0
RD277,Domestic Terminal,5:57 AM,00:15:00,Peak Time,No,15,0
RD278,Domestic Terminal,1:21 PM,00:15:00,Peak Time,No,15,0
RD279,Domestic Terminal,10:57 AM,00:04:00,Non-Peak Time,Yes,4,2
RD280,Domestic Terminal,11:52 PM,00:03:00,Non-Peak Time,Yes,6,1
RD281,Domestic Terminal,4:42 AM,00:02:00,Non-Peak Time,Yes,9,1
RD282,Domestic Terminal,10:55 AM,00:04:00,Non-Peak Time,No,7,0
RD283,Domestic Terminal,7:59 PM,00:02:00,Non-Peak Time,Yes,7,1
RD284,Domestic Terminal,11:44 PM,00:05:00,Non-Peak Time,No,8,0
RD285,Domestic Terminal,1:20 PM,00:05:00,Non-Peak Time,Yes,7,2
RD286,Domestic Terminal,4:38 AM,00:03:00,Non-Peak Time,Yes,6,2
RD287,Domestic Terminal,9:35 PM,00:02:00,Non-Peak Time,No,6,0
RD288,Domestic Terminal,12:38 PM,00:05:00,Non-Peak Time,No,8,0
RD289,Domestic Terminal,10:18 AM,00:02:00,Non-Peak Time,Yes,5,1
RD290,Domestic Terminal,9:36 PM,00:04:00,Non-Peak Time,Yes,7,1
RD291,Domestic Terminal,9:06 PM,00:02:00,Non-Peak Time,Yes,8,1
RD292,Domestic Terminal,11:52 AM,00:03:00,Non-Peak Time,Yes,8,1
RD293,Domestic Terminal,11:57 PM,00:04:00,Non-Peak Time,Yes,6,2
RD294,Domestic Terminal,5:03 AM,00:04:00,Non-Peak Time,No,6,0
RD295,Domestic Terminal,1:38 PM,00:03:00,Non-Peak Time,Yes,8,2
RD296,Domestic Terminal,11:01 PM,00:05:00,Peak Time,Yes,8,1
RD297,Domestic Terminal,5:39 AM,00:04:00,Non-Peak Time,Yes,8,2
RD298,Domestic Terminal,12:24 PM,00:15:00,Peak Time,No,15,0
RD299,Domestic Terminal,12:04 PM,00:16:00,Peak Time,No,16,0
RD300,Domestic Terminal,11:02 AM,00:02:00,Non-Peak Time,No,6,0
RD301,Domestic Terminal,3:28 AM,00:15:00,Peak Time,No,15,0
RD302,Domestic Terminal,9:06 PM,00:19:00,Peak Time,Yes,18,1
RD303,Domestic Terminal,10:52 AM,00:04:00,Peak Time,Yes,6,1
RD304,Domestic Terminal,6:51 PM,00:18:00,Peak Time,Yes,17,1
RD305,Domestic Terminal,11:44 AM,00:18:00,Peak Time,Yes,16,2
RD306,Domestic Terminal,10:16 AM,00:17:00,Peak Time,Yes,15,2
RD307,Domestic Terminal,10:51 AM,00:04:00,Non-Peak Time,Yes,6,1
RD308,Domestic Terminal,12:06 PM,00:05:00,Non-Peak Time,Yes,9,2
RD309,Domestic Terminal,1:05 AM,00:19:00,Peak Time,Yes,18,1
RD310,Domestic Terminal,7:27 PM,00:23:00,Peak Time,No,23,0
RD311,Domestic Terminal,11:05 PM,00:04:00,Peak Time,Yes,7,1
RD312,Domestic Terminal,9:58 PM,00:05:00,Peak Time,Yes,9,1
RD313,Domestic Terminal,11:51 AM,00:02:00,Non-Peak Time,No,6,0
RD314,Domestic Terminal,12:59 PM,00:21:00,Peak Time,Yes,19,2
RD315,Domestic Terminal,5:11 AM,00:17:00,Peak Time,No,17,0
RD316,Domestic Terminal,1:43 PM,00:03:00,Non-Peak Time,Yes,6,2
RD317,Domestic Terminal,12:53 PM,00:19:00,Peak Time,No,19,0
RD318,Domestic Terminal,11:16 PM,00:04:00,Non-Peak Time,Yes,6,2
RD319,Domestic Terminal,8:58 PM,00:05:00,Non-Peak Time,Yes,6,2
RD320,Domestic Terminal,6:37 PM,00:04:00,Non-Peak Time,Yes,8,1
RD321,Domestic Terminal,11:17 AM,00:05:00,Peak Time,Yes,8,1
RD322,Domestic Terminal,2:52 AM,00:02:00,Non-Peak Time,Yes,5,1
RD323,Domestic Terminal,12:25 PM,00:19:00,Peak Time,Yes,17,2
RD324,Domestic Terminal,11:08 AM,00:16:00,Peak Time,Yes,15,1
RD325,Domestic Terminal,1:44 AM,00:04:00,Non-Peak Time,Yes,9,2
RD326,Domestic Terminal,6:59 PM,00:03:00,Peak Time,Yes,4,2
RD327,Domestic Terminal,11:16 AM,00:20:00,Peak Time,Yes,19,1
RD328,Domestic Terminal,1:05 PM,00:16:00,Peak Time,No,16,0
RD329,Domestic Terminal,12:20 AM,00:06:00,Peak Time,Yes,8,2
RD330,Domestic Terminal,9:01 PM,00:17:00,Peak Time,Yes,15,2
RD331,Domestic Terminal,1:43 PM,00:20:00,Peak Time,Yes,19,1
RD332,Domestic Terminal,4:10 AM,00:04:00,Non-Peak Time,Yes,7,2
RD333,Domestic Terminal,12:00 PM,00:02:00,Non-Peak Time,Yes,8,1
RD334,Domestic Terminal,9:43 PM,00:05:00,Non-Peak Time,Yes,6,2
RD335,Domestic Terminal,7:08 PM,00:02:00,Non-Peak Time,Yes,4,1
RD336,Domestic Terminal,12:55 PM,00:02:00,Non-Peak Time,Yes,7,1
RD337,Domestic Terminal,5:26 AM,00:04:00,Non-Peak Time,Yes,6,1
RD338,Domestic Terminal,7:07 PM,00:03:00,Non-Peak Time,No,9,0
